team_name,name,stadium_id,surface,capacity,geo_lat,geo_lng
Utah State,Maverik Stadium,685,3,25513,41.75231410565326, -111.80948552468567
San Jose State,CEFCU Stadium,775,0,30000,37.31989468822023, -121.86776417726804
Fresno State,Bulldog Stadium,790,2,40727,36.81458042680539, -119.75772263904211
Colorado State,Canvas Stadium,839,2,36500,40.57003099452072, -105.08794126646417
Air Force,Falcon Stadium,714,2,46692,38.997301219009834, -104.8430123341898
Nevada,Mackay Stadium,700,2,30000,39.54714457835282, -119.81693217382156
Georgia State,Center Parc Credit Union Stadium,840,2,24333,33.73633585379597, -84.38903605577849
Coastal Carolina,Brooks Stadium,841,3,21000,33.792945712026786, -79.0169746963064
Arkansas State,Centennial Bank Stadium,699,2,30406,35.849051285035365, -90.66635524221329
UL Lafayette,Cajun Field,708,3,41426,30.216000047923128, -92.0411633641439
South Alabama,Ladd-Peebles Stadium,778,2,38888,30.67327727107532, -88.07479791331448
Texas State,Bobcat Stadium,809,2,30000,29.891233393727905, -97.92510851056706
Troy,Veterans Memorial Stadium,731,1,30000,31.79970303865745, -85.95128809282811
Appalachian State,Kidd Brewer Stadium,769,2,30000,36.21172143685595, -81.68483180536242
UL Monroe,Malone Stadium,741,3,27617,32.53113136135352, -92.0654738930074
Georgia Southern,Allen E. Paulson Stadium,730,0,25000,32.41237630135692, -81.78263103755248
Liberty,Williams Stadium,853,2,25000,37.35455100149703, -79.17464986492126
New Mexico State,Aggie Memorial Stadium,789,0,28853,32.279703146380186, -106.74102644496303

